green_wv	Wavelength
573.545	0.7419340396529833
573.9	0.7494883890132412
574.256	0.7255240309748306
574.612	0.7480669695088493
574.967	0.7317088189999313
575.323	0.7554804185594894
575.678	0.7765663033183656
576.033	0.7028688197453594
576.389	0.8236690192676885
576.744	0.7959866466286518
577.099	0.8160790076321833
577.454	0.7977018792695392
577.81	0.8740461907303724
578.165	0.8772744754483721
578.52	0.8412167221758526
578.875	0.8738357638266608
579.23	0.9330732377235182
579.585	0.9585044481119246
579.94	0.9035481038650124
580.294	0.9068700754101418
580.649	0.9649689106207198
581.004	0.9555325442458678
581.359	0.8610984439915359
581.713	0.9518086116901818
582.068	0.9336232139406112
582.423	0.9369809353673062
582.777	0.9425721423193769
583.132	1.0483235137184521
583.486	1.0145394416202569
583.84	1.0223223934047656
584.195	0.9952493433482994
